layer,auc_mean,auc_std,auc_oof
0,0.5903410852713179,0.10974445572403982,0.583514571552849
1,0.5674573643410852,0.10181976402985092,0.5593011454255473
2,0.6136201550387597,0.10149788452804348,0.6051181673191243
3,0.6088372093023255,0.12291865298923975,0.5998260113092649
4,0.610170542635659,0.1164797250622609,0.6070755400898942
5,0.6099844961240309,0.11342949080398555,0.5969986950848195
6,0.6127286821705427,0.08113389385112997,0.6046831955922864
7,0.5975426356589147,0.09259415112363388,0.586704364216326
8,0.5908992248062015,0.08952797181280747,0.5824271422357546
9,0.6042868217054262,0.0699755363434772,0.5932289401188923
10,0.6229689922480619,0.06022323713458195,0.6151225170363926
11,0.611,0.053509974291874075,0.6092503987240829
12,0.6033255813953489,0.057054191944680345,0.601348412353197
13,0.6168062015503877,0.052080185987471606,0.6087429317094389
14,0.6144728682170543,0.05811678934915929,0.609757865738727
15,0.6296046511627906,0.061537178595530574,0.6240394374365666
16,0.6566434108527133,0.07531416722389173,0.6468029578077426
17,0.662860465116279,0.06394433761171825,0.6604320719153255
18,0.6962635658914728,0.05473587145612146,0.6847179933304335
19,0.7033875968992247,0.056457399998072845,0.6874728142670726
20,0.6892093023255814,0.06200067942970146,0.6752211106278092
21,0.6682248062015503,0.0554669033672197,0.6673916195447296
22,0.6617984496124032,0.05825089386971153,0.661302015369001
23,0.6552635658914727,0.06306396846649333,0.6519501232419893
24,0.6616279069767442,0.0697032435035743,0.6610845295055822
25,0.6673488372093024,0.06969693939892074,0.6654342467739597
26,0.6448682170542636,0.08571849834122813,0.6396259243149195
27,0.6245813953488372,0.08916887638809366,0.6233507322024069
28,0.6255968992248062,0.06812829673356259,0.6291141075830071
29,0.6170232558139535,0.0678987393680027,0.6177323473974191
30,0.6017286821705425,0.09218566582367543,0.5980136291141076
31,0.6399612403100775,0.10339979950923196,0.6360011599246049
