pid,speaker,fold,seed,p_yes,p_yes_set,answer_mass,p_yes_tok,p_no_tok,top1_id,top1_p,audio_tok,dur_s,seq_len
301,301,3,0,0.016914913430809975,0.050345349496437146,0.9960330799221992,9.156730698123283e-07,5.321840217220597e-05,2753,0.941899836063385,22500,900.0,22548
306,306,3,0,0.05184547230601311,0.09537756171765882,0.9970608875155449,1.6327111325153965e-06,2.9859163987566717e-05,2753,0.8989582061767578,15477,619.1,15525
311,311,3,0,0.9658995866775513,0.979713704356491,0.9992975890636444,1.5719755538157187e-05,5.549752586375689e-07,9454,0.9710839986801147,5445,217.7999,5493
316,316,3,0,0.8774768114089966,0.9242363996839081,0.9989550113677979,1.4880379239912145e-05,2.077766566799255e-06,9454,0.9192317128181458,5657,226.3,5705
321,321,3,0,0.9603611826896667,0.9756351524528734,0.9991106856614351,1.3380368727666792e-05,5.52273775156209e-07,9454,0.9663569927215576,7790,311.5999,7838
326,326,3,0,0.017712296918034554,0.024434625044825,0.998795460909605,4.833307798435271e-07,2.6804531444213353e-05,2753,0.9734199643135071,4907,196.3,4955
331,331,3,0,0.7025300860404968,0.8439521507332118,0.9979328215122223,1.3928991393186152e-05,5.897906248719664e-06,9454,0.8339864015579224,11195,447.8,11243
336,336,3,0,0.06954174488782883,0.11297118050382285,0.9973934665322304,3.58722468263295e-06,4.799653106601909e-05,2753,0.8764445781707764,9477,379.1,9525
341,341,3,0,0.04603390023112297,0.06759034548810947,0.998427040874958,1.4892772242092178e-06,3.0862469429848716e-05,2753,0.9291643500328064,10465,418.6001,10513
347,347,3,0,0.027585284784436226,0.047445079443758455,0.9981240071356297,9.228467092725623e-07,3.2531472243135795e-05,2753,0.9492789506912231,3627,145.1,3675
352,352,3,0,0.18713268637657166,0.34860354045303155,0.9943796098232269,8.346197319042403e-06,3.6254226870369166e-05,2753,0.6416549682617188,22500,900.0,22548
