pid,speaker,fold,seed,p_yes,p_yes_set,answer_mass,p_yes_tok,p_no_tok,top1_id,top1_p,audio_tok,dur_s,seq_len
301,301,3,1,0.011508150026202202,0.029335279036375665,0.9942465219646692,7.386100833173259e-07,6.344286521198228e-05,2753,0.960433304309845,22500,900.0,22548
306,306,3,1,0.03283695504069328,0.06372123836397581,0.9951988607645035,1.3365471431825426e-06,3.9365982956951484e-05,2753,0.9230162501335144,15477,619.1,15525
311,311,3,1,0.8705973029136658,0.9243454216564234,0.9982329830527306,2.0816522010136396e-05,3.0940998385631246e-06,9454,0.9118647575378418,5445,217.7999,5493
316,316,3,1,0.7799928784370422,0.8743647972368559,0.9981822669506073,1.586253711138852e-05,4.474233719520271e-06,9454,0.8647624850273132,5657,226.3,5705
321,321,3,1,0.9111796617507935,0.9436420943650489,0.9975795224308968,2.1690811990993097e-05,2.1143844151083613e-06,9454,0.9209294319152832,7790,311.5999,7838
326,326,3,1,0.014957087114453316,0.016928985618409182,0.9987553805112839,3.6163658023724565e-07,2.381663944106549e-05,2753,0.9800751209259033,4907,196.3,4955
331,331,3,1,0.4073334336280823,0.5930130149603811,0.9945235848426819,1.483383857703302e-05,2.1583107809419744e-05,9454,0.5734413266181946,11195,447.8,11243
336,336,3,1,0.05834583565592766,0.09543888684195914,0.9950019046664238,3.5009641123906476e-06,5.6502696679672226e-05,2753,0.8825214505195618,9477,379.1,9525
341,341,3,1,0.03258974477648735,0.05039426543537456,0.997465655207634,1.2242136335771647e-06,3.63401704817079e-05,2753,0.9358155727386475,10465,418.6001,10513
347,347,3,1,0.022977370768785477,0.03735124745228133,0.9977584034204483,7.483519084416912e-07,3.18207275995519e-05,2753,0.9580143094062805,3627,145.1,3675
352,352,3,1,0.16026602685451508,0.3209495081060473,0.9896897971630096,9.089571904041804e-06,4.76259519928135e-05,2753,0.6668049097061157,22500,900.0,22548
357,357,3,1,0.014063626527786255,0.02033164143009174,0.9972682911902666,5.529752229449514e-07,3.8766549550928175e-05,2753,0.9675843715667725,13260,530.4,13308
362,362,3,1,0.08882028609514236,0.15609065480741027,0.9964283257722855,3.6942453789379215e-06,3.7898113077972084e-05,2753,0.8347614407539368,7167,286.7,7215
367,367,3,1,0.7490872144699097,0.8741624781344912,0.9957274198532104,1.691208490228746e-05,5.664838226948632e-06,9454,0.8661196827888489,22500,900.0,22548
372,372,3,1,0.9348725080490112,0.9627746346884644,0.9964660964906216,1.8433636796544306e-05,1.2841726402257336e-06,9454,0.9440430402755737,18782,751.3001,18830
377,377,3,1,0.021125193685293198,0.03964934931796847,0.9962191991508007,7.472655170204234e-07,3.4625929401954636e-05,2753,0.9491791725158691,21097,843.8999,21145
382,382,3,1,0.008187909610569477,0.009715469698644551,0.9991672514006495,1.4487096677839872e-07,1.754840741341468e-05,2753,0.9870373010635376,9120,364.7999,9168
387,387,3,1,0.014063626527786255,0.02033014824183112,0.9980140272527933,4.328556713062426e-07,3.034552719327621e-05,2753,0.9725230932235718,5260,210.4001,5308
392,392,3,1,0.02595735713839531,0.04464547753010088,0.9965811371803284,1.2935612403452978e-06,4.854052895097993e-05,2753,0.9435447454452515,6450,258.0,6498
399,399,3,1,0.02080448903143406,0.037356399216177914,0.9962337575852871,7.618086783622857e-07,3.5855704481946304e-05,2753,0.9526498913764954,9252,370.0999,9300
404,404,3,1,0.020332353189587593,0.03966247030426472,0.9952093362808228,9.549920605422813e-07,4.601409818860702e-05,2753,0.9521213173866272,22500,900.0,22548
409,409,3,1,0.38861799240112305,0.7056486240184281,0.9911126792430878,1.0115828445123043e-05,1.5914434698061086e-05,9454,0.697129487991333,17960,718.4,18008
414,414,3,1,0.5195213556289673,0.6922424513789918,0.9952003955841064,1.505247473687632e-05,1.3921262507210486e-05,9454,0.6803021430969238,13970,558.7999,14018
419,419,3,1,0.013848611153662205,0.025969200691966773,0.99788629822433,3.868273665830202e-07,2.7545751436264254e-05,2753,0.9695605635643005,16242,649.7,16290
424,424,3,1,0.0427221953868866,0.07590114351204291,0.9961995705962181,1.9183703443559352e-06,4.298499334254302e-05,2753,0.9176772832870483,22500,900.0,22548
429,429,3,1,0.021287351846694946,0.04470395211536005,0.9961251430213451,8.779199447417341e-07,4.036346581415273e-05,2753,0.9464043378829956,10242,409.7001,10290
434,434,3,1,0.03358950465917587,0.06760162090260222,0.9972132667899132,1.249005549652793e-06,3.593539440771565e-05,2753,0.9253919720649719,21610,864.3999,21658
439,439,3,1,0.019419347867369652,0.03735689073453594,0.9971271194517612,8.340271051565651e-07,4.211422856315039e-05,2753,0.9570736289024353,22500,900.0,22548
444,444,3,1,0.013848611153662205,0.027607975844826903,0.9970727022737265,5.794178719042975e-07,4.12600020354148e-05,2753,0.9674254655838013,22500,900.0,22548
449,449,3,1,0.014392335899174213,0.03510914681079668,0.9946058019995689,6.523690103676927e-07,4.467515827855095e-05,2753,0.9537602066993713,22500,900.0,22548
454,454,3,1,0.014063626527786255,0.029329098186022848,0.996857114136219,5.504775231202075e-07,3.8591449992964044e-05,2753,0.9632139205932617,22500,900.0,22548
459,459,3,1,0.3923368453979492,0.6217248659465495,0.9904487431049347,1.8242399164591916e-05,2.8254382414161228e-05,9454,0.6031966209411621,9615,384.6,9663
465,465,3,1,0.019870713353157043,0.03965479041712476,0.9949382804334164,1.0222601076748106e-06,5.042330303695053e-05,2753,0.9499868154525757,22500,900.0,22548
470,470,3,1,0.05582313984632492,0.13279674480754333,0.9928173422813416,2.849319571396336e-06,4.819258538191207e-05,2753,0.8529491424560547,22500,900.0,22548
475,475,3,1,0.015189049765467644,0.021632582268230404,0.9981484115123749,3.765493943319598e-07,2.4414297513430938e-05,2753,0.9737588167190552,5615,224.5999,5663
480,480,3,1,0.013848611153662205,0.02930821838325705,0.9945281594991684,5.926662538513483e-07,4.2203413613606244e-05,2753,0.9591004252433777,22500,900.0,22548
485,485,3,1,0.08756384998559952,0.14036808712932314,0.9972119927406311,4.091276423423551e-06,4.263208029442467e-05,2753,0.8550001978874207,5310,212.4001,5358
490,490,3,1,0.016914913430809975,0.02598028853853467,0.9984181169420481,4.597143856699404e-07,2.6718338631326333e-05,2753,0.9702898859977722,4840,193.5999,4888
602,602,3,1,0.4035668969154358,0.5778125773383033,0.9938419759273529,1.220866761286743e-05,1.8043241652776487e-05,9454,0.5692905187606812,22500,900.0,22548
607,607,3,1,0.20434190332889557,0.33534737037807955,0.9960954487323761,1.0124656000698451e-05,3.942297553294338e-05,2753,0.6554640531539917,5508,220.3001,5556
617,617,3,1,0.0427221953868866,0.08052017837661311,0.9957586377859116,1.7863735592982266e-06,4.00273384002503e-05,2753,0.9096476435661316,14795,591.8,14843
623,623,3,1,0.01342825498431921,0.0244357725136335,0.9977144747972488,3.6281488746681134e-07,2.665595275175292e-05,2753,0.9680242538452148,18142,725.6998,18190
628,628,3,1,0.008124709129333496,0.015917720398395098,0.9975812491029501,2.6636851657713123e-07,3.251862290198915e-05,2753,0.9790255427360535,14052,562.1,14100
634,634,3,1,0.01243165135383606,0.017997017079837675,0.99821094609797,3.183907324455504e-07,2.5292909413110465e-05,2753,0.9777644872665405,9427,377.1,9475
640,640,3,1,0.7154240012168884,0.8350761561255604,0.9951277077198029,1.9925406377296895e-05,7.92577975516906e-06,9454,0.8199475407600403,10177,407.0999,10225
652,652,3,1,0.4532618820667267,0.6923218540031555,0.994424968957901,1.2565763427119236e-05,1.5157203961280175e-05,9454,0.6744149327278137,8887,355.4999,8935
657,657,3,1,0.011508150026202202,0.025953385386157452,0.9967038221657276,3.9796071860109805e-07,3.418281630729325e-05,2753,0.9667769074440002,22500,900.0,22548
662,662,3,1,0.05223085358738899,0.06766902761311502,0.9961114674806595,2.159562200176879e-06,3.918691800208762e-05,2753,0.9188176989555359,8527,341.1,8575
669,669,3,1,0.35220178961753845,0.5157944194691764,0.9948916733264923,1.0920722161245067e-05,2.00862832571147e-05,9454,0.5092335343360901,18530,741.2,18578
679,679,3,1,0.030908960849046707,0.06760767445568261,0.9947179108858109,1.6632826600471162e-06,5.2149036491755396e-05,2753,0.9229733943939209,22500,900.0,22548
687,687,3,1,0.03567855432629585,0.0676393842826716,0.9935234785079956,2.2527619876200333e-06,6.0887745348736644e-05,2753,0.9217524528503418,22500,900.0,22548
693,693,3,1,0.029535336419939995,0.05036925012241265,0.9967773854732513,9.234055937668018e-07,3.0341028832481243e-05,2753,0.9424619674682617,21185,847.4,21233
699,699,3,1,0.1561049073934555,0.2570126994273835,0.9963764548301697,6.206239504535915e-06,3.355061562615447e-05,2753,0.739001452922821,2982,119.2999,3030
708,708,3,1,0.016657039523124695,0.033079894473495686,0.9965313971042633,6.507699481517193e-07,3.841799116344191e-05,2753,0.958884596824646,22500,900.0,22548
715,715,3,1,0.4455295503139496,0.7057434764124787,0.995093435049057,1.0602929251035675e-05,1.3195559404266533e-05,9454,0.6972367763519287,16392,655.7001,16440
