curve	stream	pod	cpu	openblas	states	n_layers	auc_oof_maxabs	auc_oof_match4dp	auc_mean_maxabs	auc_mean_match4dp	auc_std_maxabs	auc_std_match4dp	verdict	refit_file	saved_file
pitt	enc	lo-t5-1	AMD EPYC 7713 64-Core Processor	Haswell	same extraction run	32	0.0006780317706315264	8	0.0008180971956518457	3	0.0009654745437690029	5	close, not exact	<local data dir>/release_from_mac/scores/leftovers_23sep/t5/pull/lo-t5-1/out/pitt_encproj_encoder_perlayer.csv	<local data dir>/release/omni_final/omni_pitt_encoder_perlayer.csv
pitt	proj	lo-t5-1	AMD EPYC 7713 64-Core Processor	Haswell	same extraction run	1	5.8117008911229284e-05	0	0.0001223940120047562	0	0.0007940724078390887	0	close, not exact	<local data dir>/release_from_mac/scores/leftovers_23sep/t5/pull/lo-t5-1/out/pitt_encproj_proj_perlayer.csv	<local data dir>/release/omni_final/omni_pitt_proj_perlayer.csv
pitt	llm	lo-t5-2	AMD EPYC 9754 128-Core Processor	SkylakeX	same extraction run	29	0.0	29	0.0	29	0.0	29	exact (max diff below 1e-12)	<local data dir>/release_from_mac/scores/leftovers_23sep/t5/pull/lo-t5-2/out/pitt_llm_llm_perlayer.csv	<local data dir>/release/omni_final/omni_pitt_llm_perlayer.csv
pitt	ans	lo-t5-3	AMD EPYC 7713 64-Core Processor	Haswell	same extraction run	29	0.000794265788454096	4	0.0011601073574829535	3	0.0012592456439444281	3	close, not exact	<local data dir>/release_from_mac/scores/leftovers_23sep/t5/pull/lo-t5-3/out/pitt_ans_ans_perlayer.csv	<local data dir>/release/omni_final/omni_pitt_ans_perlayer.csv
edaic30	enc	lo-t5-4	AMD EPYC 7713 64-Core Processor	Haswell	same extraction run	32	0.0005074670146441029	7	0.0011085271317829992	12	0.0010766093474088023	11	close, not exact	<local data dir>/release_from_mac/scores/leftovers_23sep/t5/pull/lo-t5-4/out/edaic30_encproj_encoder_perlayer.csv	<local data dir>/release/omni_final/omni_edaic_encoder_perlayer.csv
edaic30	proj	lo-t5-4	AMD EPYC 7713 64-Core Processor	Haswell	same extraction run	1	0.0003624764390314228	0	0.0015503875968992942	0	0.0006244100774285416	0	close, not exact	<local data dir>/release_from_mac/scores/leftovers_23sep/t5/pull/lo-t5-4/out/edaic30_encproj_proj_perlayer.csv	<local data dir>/release/omni_final/omni_edaic_proj_perlayer.csv
edaic30	llm	lo-t5-5	AMD EPYC 9965 192-Core Processor	SkylakeX	same extraction run	29	0.0	29	0.0	29	0.0	29	exact (max diff below 1e-12)	<local data dir>/release_from_mac/scores/leftovers_23sep/t5/pull/lo-t5-5/out/edaic30_llm_llm_perlayer.csv	<local data dir>/release/omni_final/omni_edaic_llm_perlayer.csv
edaic30	ans	lo-t5-6	AMD EPYC 9965 192-Core Processor	SkylakeX	same extraction run	29	0.0	29	0.0	29	0.0	29	exact (max diff below 1e-12)	<local data dir>/release_from_mac/scores/leftovers_23sep/t5/pull/lo-t5-6/out/edaic30_ans_ans_perlayer.csv	<local data dir>/release/omni_final/omni_edaic_ans_perlayer.csv
adress2020	enc	lo-t5-7	AMD EPYC 9654 96-Core Processor	SkylakeX	other extraction	32	0.002876397107166251	1	0.0048958333333334325	5	0.004781677915345325	1	close, not exact	<local data dir>/release_from_mac/scores/leftovers_23sep/t5/pull/lo-t5-7/out/adress2020_encproj_encoder_perlayer.csv	<local data dir>/release/omni_final/omni_adress2020_encoder_perlayer.csv
adress2020	proj	lo-t5-7	AMD EPYC 9654 96-Core Processor	SkylakeX	other extraction	1	0.0013149243918474385	0	0.0007291666666666696	0	0.0019159623687426963	0	close, not exact	<local data dir>/release_from_mac/scores/leftovers_23sep/t5/pull/lo-t5-7/out/adress2020_encproj_proj_perlayer.csv	<local data dir>/release/omni_final/omni_adress2020_proj_perlayer.csv
neurovoz	enc	lo-t5-8	AMD EPYC 9655P 96-Core Processor	SkylakeX	other extraction	32	0.001091732852970706	5	0.0011206968026798991	1	0.0009525575099450789	4	close, not exact	<local data dir>/release_from_mac/scores/leftovers_23sep/t5/pull/lo-t5-8/out/neurovoz_encproj_encoder_perlayer.csv	<local data dir>/release/omni_final/omni_neurovoz_encoder_perlayer.csv
neurovoz	proj	lo-t5-8	AMD EPYC 9655P 96-Core Processor	SkylakeX	other extraction	1	4.9624220589405965e-06	0	0.0007706287108794063	0	0.0007154152416138995	0	close, not exact	<local data dir>/release_from_mac/scores/leftovers_23sep/t5/pull/lo-t5-8/out/neurovoz_encproj_proj_perlayer.csv	<local data dir>/release/omni_final/omni_neurovoz_proj_perlayer.csv
edaic30	enc	lo-t5-9	AMD EPYC 9654 96-Core Processor	SkylakeX	same extraction run	32	0.0	32	0.0	32	0.0	32	exact (max diff below 1e-12)	<local data dir>/release_from_mac/scores/leftovers_23sep/t5/pull/lo-t5-9/out/edaic30_encproj_encoder_perlayer.csv	<local data dir>/release/omni_final/omni_edaic_encoder_perlayer.csv
edaic30	proj	lo-t5-9	AMD EPYC 9654 96-Core Processor	SkylakeX	same extraction run	1	0.0	1	0.0	1	0.0	1	exact (max diff below 1e-12)	<local data dir>/release_from_mac/scores/leftovers_23sep/t5/pull/lo-t5-9/out/edaic30_encproj_proj_perlayer.csv	<local data dir>/release/omni_final/omni_edaic_proj_perlayer.csv
edaicfull	enc	lo-t5-9	AMD EPYC 9654 96-Core Processor	SkylakeX	other extraction	32	0.002972306800058	2	0.002829457364341037	0	0.0049841548426390325	0	close, not exact	<local data dir>/release_from_mac/scores/leftovers_23sep/t5/pull/lo-t5-9/out/edaicfull_encproj_encoder_perlayer.csv	<local data dir>/release/edaic_rerun/variants/o25_full_encoder_perlayer.csv
edaicfull	proj	lo-t5-9	AMD EPYC 9654 96-Core Processor	SkylakeX	other extraction	1	0.0007249528780630676	0	0.0008837209302325899	0	0.0008679782614193499	0	close, not exact	<local data dir>/release_from_mac/scores/leftovers_23sep/t5/pull/lo-t5-9/out/edaicfull_encproj_proj_perlayer.csv	<local data dir>/release/edaic_rerun/variants/o25_full_proj_perlayer.csv
edaic30	enc	lo-t5-10	AMD EPYC 9654 96-Core Processor	SkylakeX	same extraction run	32	0.0	32	0.0	32	0.0	32	exact (max diff below 1e-12)	<local data dir>/release_from_mac/scores/leftovers_23sep/t5/pull/lo-t5-10/out/edaic30_encproj_encoder_perlayer.csv	<local data dir>/release/omni_final/omni_edaic_encoder_perlayer.csv
