stage,auc_mean,auc_std,auc_oof
0,0.5,0.0,0.5
1,0.782227800376487,0.036910900681276636,0.7794491297474903
2,0.7928986802357082,0.045624245275631775,0.7867364082531221
3,0.7924241972232513,0.04914969314475687,0.7855735886846483
4,0.8034965278096798,0.05525501680505716,0.797520421760037
5,0.799159620380677,0.042285365496911254,0.7949920133744941
6,0.8015031932476819,0.0425600991342992,0.7970072914166536
7,0.7981716258033947,0.04091810064714146,0.7932705438354011
8,0.8009941463467829,0.04408361932830974,0.7970238440083757
9,0.804229726602982,0.046115524712535653,0.8043400895495212
10,0.8004173617898512,0.03281463452304076,0.8002309086545225
11,0.7930308252361319,0.04140196324644988,0.7927160320127125
12,0.7992733318861998,0.0359005964631176,0.7999122712638731
13,0.7873281036551217,0.033565729104543196,0.785652213495328
14,0.7867738131210726,0.03092433620084691,0.7862191397618081
15,0.772819679055748,0.023160268715060862,0.7718473519991392
16,0.7781858921665413,0.021242238150487838,0.7755716851366004
17,0.7855401433170879,0.028121256044089292,0.7841624802403437
18,0.7705824720777461,0.043903987942984946,0.7743467933491687
19,0.7958773052209894,0.026259622157312108,0.79665554884256
20,0.8088575136988357,0.028905232014799866,0.8059829342779345
21,0.8130895021359652,0.025289969383399353,0.810179016279474
22,0.8131527577000958,0.024921246928607445,0.8131750353811649
23,0.8031314185507068,0.02653957082241523,0.8026268963062893
24,0.794601493114379,0.029314316474121502,0.7931877808767909
25,0.8000928178965067,0.029353147270787118,0.7980625191389341
26,0.79994676524793,0.02922895886147566,0.8004088490155346
27,0.8044817651140331,0.03541145531594041,0.8041249058571346
28,0.7885465508162249,0.027309881040513358,0.7874605841409619
