stage,auc_mean,auc_std,auc_oof
0,0.7737567131944075,0.02652970746560521,0.7704362435548346
1,0.7893355185101283,0.028813814840406675,0.7878826752298742
2,0.7862805503457563,0.027454836699623557,0.7847376828026849
3,0.7912762072106982,0.027642168154225145,0.7894220662600246
4,0.7921807280046556,0.03312893109791052,0.7903365969526679
5,0.795226146071162,0.026943551608398533,0.7927243083085735
6,0.7942853455633527,0.03126836614059674,0.7897613943903267
7,0.8049136017517586,0.024669372576841004,0.7987618661391908
8,0.8229631080179851,0.021389617746765264,0.8165186589090186
9,0.8255002448246087,0.02740187278808176,0.8195601976379452
10,0.829936478015789,0.030749172907471298,0.8265991872677464
11,0.827111934600399,0.02290660102269188,0.822394828970346
12,0.823375501565715,0.02578204220379772,0.820189196123383
13,0.8169299761943316,0.023736424245128715,0.8135267779552583
14,0.8174701111174272,0.028537594156845723,0.8124094780140201
15,0.8194007691532608,0.026634367369796665,0.8159848378259826
16,0.8214439221521918,0.03189791801571537,0.8169076448144867
17,0.8228141382099672,0.03222332981346946,0.8193781191290027
18,0.8067079059414496,0.034271179788467276,0.8056891257748682
19,0.8064010348109539,0.025156708314030284,0.8041621491885093
20,0.8048623204604587,0.02802900596504574,0.8012737219330117
21,0.8106374183192401,0.025977164072765856,0.8078326864028735
22,0.8103822805901683,0.02349656299957353,0.8067195246095658
23,0.815502420688944,0.022416753670911258,0.8112632110372682
24,0.8206244207863463,0.021510668181632293,0.8174124988620092
25,0.8223240210713705,0.024079108514570267,0.8165434877966017
26,0.8244179028401982,0.025466193286140644,0.8203712746323257
27,0.8241671868857017,0.02590421073385586,0.8210333783012074
28,0.813805540325108,0.02869675291244213,0.809347248545441
